2022-06-13 10:05:27.104 [restartedMain] INFO  com.ginfon.main.GinFonSystemApplication-Starting GinFonSystemApplication on DESKTOP-HMJHOOG with PID 29388 (E:\shunfeng\JIKONG3.0\gf-scada\target\classes started by Administrator in E:\shunfeng\JIKONG3.0\gf-scada)
2022-06-13 10:23:22.349 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:27.348 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:32.348 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:37.341 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:42.339 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:47.344 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:52.346 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:23:57.348 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:02.342 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:07.341 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:12.347 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:17.342 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:22.344 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:27.346 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:32.340 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:37.342 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:42.342 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:47.349 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:52.340 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:24:57.342 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:02.340 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:07.351 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:12.350 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:17.346 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:22.345 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:27.343 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:32.341 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:37.336 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:42.347 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:47.344 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:52.336 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:25:57.350 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:02.344 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:07.348 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:12.342 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:17.343 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:22.342 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:27.350 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:32.349 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:37.349 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:42.338 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:47.347 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:52.348 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:26:57.340 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:27:02.349 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:27:07.344 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:27:12.348 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
